"TOA5","Cal_Pluv","CR1000","63522","CR1000.Std.32.03","CPU:EnsaioIR_4pluv.CR1","59817","Basculada"
"TIMESTAMP","RECORD","c","vazao","deltaT","massaT","IRm","IRr","IRrmed"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-14 10:23:31.84",164,28,1.5,5.279996,7235.5,279.5457,337.6408,273.4887
"2023-06-14 10:23:39.78",165,29,1.600098,7.939993,7245.2,185.8944,360.1722,273.8642
"2023-06-14 10:23:42.46",166,30,1,2.679998,7248.2,550.7466,225.0939,274.6152
"2023-06-14 10:23:50.36",167,31,0.800293,7.899993,7258.1,186.8356,180.1411,275.74
"2023-06-14 10:23:52.94",168,32,0.5,2.579998,7260.1,572.0934,112.5469,272.7395
"2023-06-14 10:23:59.22",169,33,0.8999023,6.279995,7269.1,235.032,202.5625,271.6129
"2023-06-14 10:24:02.04",170,34,2.399902,2.819998,7273.3,523.4046,540.2033,277.2402
"2023-06-14 10:24:07.88",171,35,2.100098,5.839995,7279.4,252.7399,472.7191,273.8642
"2023-06-14 10:24:15.78",172,36,1.899902,7.899993,7288.9,186.8356,427.6564,272.7376
"2023-06-14 10:24:18.36",173,37,1,2.579998,7291.9,572.0934,225.0939,274.2397
"2023-06-14 10:24:24.64",174,38,0.5,6.279995,7299.4,235.032,112.5469,273.8642
"2023-06-14 10:24:27.6",175,39,1.700195,2.939998,7303.5,502.0412,382.7035,273.4887
"2023-06-14 10:24:35.48",176,40,1.799805,7.879993,7313,187.3098,405.125,273.4887
"2023-06-14 10:24:38.28",177,41,0.2998047,2.799998,7315.5,527.1432,67.4842,269.7371
"2023-06-14 10:24:44.44",178,42,0.6000977,6.159995,7323.7,239.6106,135.0783,274.6152
"2023-06-14 10:24:52.44",179,43,0.800293,7.999993,7333.6,184.5002,180.1411,275.74
"2023-06-14 10:24:55",180,44,0.5,2.559998,7335.7,576.5629,112.5469,271.6147
"2023-06-14 10:24:57.88",181,45,1.699707,2.879998,7340.3,512.5004,382.5936,276.1137
"2023-06-14 10:25:05.82",182,46,1.600098,7.939993,7350.9,185.8944,360.1722,278.365
"2023-06-14 10:25:08.66",183,47,1.299805,2.839998,7354.3,519.7187,292.5781,279.116
"2023-06-14 10:25:16.58",184,48,0.7001953,7.919993,7363.6,186.3638,157.6097,278.3668
"2023-06-14 10:25:19.38",185,49,1.600098,2.799998,7367.6,527.1432,360.1722,277.9913
